[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
399 502 11 12 4 0 100 7.512 23.655 
502 632 11 12 4 0 100 7.857 24.491 
632 795 11 12 4 0 100 8.784 24.397 
795 1000 11 12 4 0 100 8.028 24.130 
1000 3500 11 12 4 0 100 9.155 24.877 
20 26 12 13 4 0 100 8.133 10.981 
26 32 12 13 4 0 100 8.501 11.961 
32 40 12 13 4 0 100 8.923 12.999 
40 51 12 13 4 0 100 8.958 14.236 
51 64 12 13 4 0 100 9.437 15.516 
64 80 12 13 4 0 100 9.002 16.695 
80 101 12 13 4 0 100 9.038 18.033 
101 127 12 13 4 0 100 8.715 19.134 
127 159 12 13 4 0 100 8.412 20.310 
159 200 12 13 4 0 100 8.106 21.192 
200 252 12 13 4 0 100 7.931 22.137 
252 317 12 13 4 0 100 7.735 23.033 
317 399 12 13 4 0 100 7.796 23.509 
399 502 12 13 4 0 100 8.069 24.263 
502 632 12 13 4 0 100 8.745 24.523 
632 795 12 13 4 0 100 8.899 24.799 
795 1000 12 13 4 0 100 8.390 24.614 
1000 3500 12 13 4 0 100 9.647 24.192 
20 26 13 14 4 0 100 8.615 11.372 
26 32 13 14 4 0 100 8.800 12.366 
32 40 13 14 4 0 100 9.278 13.490 
40 51 13 14 4 0 100 9.322 14.604 
51 64 13 14 4 0 100 9.313 15.918 
64 80 13 14 4 0 100 9.264 17.108 
80 101 13 14 4 0 100 8.898 18.356 
101 127 13 14 4 0 100 8.904 19.507 
127 159 13 14 4 0 100 8.694 20.680 
159 200 13 14 4 0 100 8.410 21.570 
200 252 13 14 4 0 100 8.227 22.597 
252 317 13 14 4 0 100 7.940 23.231 
317 399 13 14 4 0 100 7.953 24.007 
399 502 13 14 4 0 100 8.280 24.598 
502 632 13 14 4 0 100 8.246 24.861 
632 795 13 14 4 0 100 8.256 25.087 
795 1000 13 14 4 0 100 9.262 25.154 
1000 3500 13 14 4 0 100 10.345 25.135 
20 26 14 15 4 0 100 8.489 11.798 
26 32 14 15 4 0 100 9.077 12.783 
32 40 14 15 4 0 100 9.267 13.698 
40 51 14 15 4 0 100 9.423 15.002 
51 64 14 15 4 0 100 9.549 16.210 
64 80 14 15 4 0 100 9.397 17.445 
80 101 14 15 4 0 100 9.159 18.666 
101 127 14 15 4 0 100 9.117 19.825 
127 159 14 15 4 0 100 8.805 20.947 
159 200 14 15 4 0 100 8.519 21.940 
200 252 14 15 4 0 100 8.287 22.779 
252 317 14 15 4 0 100 8.080 23.746 
317 399 14 15 4 0 100 8.115 24.360 
399 502 14 15 4 0 100 8.456 24.783 
502 632 14 15 4 0 100 8.665 25.218 
632 795 14 15 4 0 100 9.060 25.481 
795 1000 14 15 4 0 100 9.585 25.739 
1000 3500 14 15 4 0 100 10.916 25.210 
20 26 15 16 4 0 100 9.065 12.124 
26 32 15 16 4 0 100 9.370 13.144 
32 40 15 16 4 0 100 9.433 14.146 
40 51 15 16 4 0 100 9.763 15.333 
51 64 15 16 4 0 100 9.809 16.604 
64 80 15 16 4 0 100 9.772 17.766 
80 101 15 16 4 0 100 9.591 19.075 
101 127 15 16 4 0 100 9.258 20.213 
127 159 15 16 4 0 100 8.946 21.251 
159 200 15 16 4 0 100 8.646 22.266 
200 252 15 16 4 0 100 8.455 23.209 
252 317 15 16 4 0 100 8.349 23.904 
317 399 15 16 4 0 100 8.440 24.611 
399 502 15 16 4 0 100 8.607 25.057 
502 632 15 16 4 0 100 8.716 25.663 
632 795 15 16 4 0 100 9.210 25.934 
795 1000 15 16 4 0 100 9.490 25.818 
1000 3500 15 16 4 0 100 11.629 25.757 
20 26 16 17 4 0 100 9.271 12.453 
26 32 16 17 4 0 100 9.463 13.421 
32 40 16 17 4 0 100 10.060 14.473 
40 51 16 17 4 0 100 10.025 15.698 
51 64 16 17 4 0 100 10.187 16.959 
64 80 16 17 4 0 100 9.841 18.098 
80 101 16 17 4 0 100 9.592 19.348 
101 127 16 17 4 0 100 9.493 20.580 
127 159 16 17 4 0 100 9.285 21.551 
159 200 16 17 4 0 100 8.740 22.615 
200 252 16 17 4 0 100 8.688 23.498 
252 317 16 17 4 0 100 8.482 24.205 
317 399 16 17 4 0 100 8.604 24.886 
399 502 16 17 4 0 100 8.484 25.439 
502 632 16 17 4 0 100 8.900 25.888 
632 795 16 17 4 0 100 9.614 26.173 
795 1000 16 17 4 0 100 9.921 26.148 
1000 3500 16 17 4 0 100 10.458 25.934 
20 26 17 18 4 0 100 9.725 12.885 
26 32 17 18 4 0 100 9.620 13.768 
32 40 17 18 4 0 100 9.901 14.847 
40 51 17 18 4 0 100 9.998 15.982 
51 64 17 18 4 0 100 10.137 17.253 
64 80 17 18 4 0 100 10.192 18.444 
80 101 17 18 4 0 100 9.883 19.678 
101 127 17 18 4 0 100 9.512 20.752 
127 159 17 18 4 0 100 9.144 21.931 
159 200 17 18 4 0 100 9.167 22.943 
200 252 17 18 4 0 100 8.726 23.761 
252 317 17 18 4 0 100 8.726 24.662 
317 399 17 18 4 0 100 8.504 25.275 
399 502 17 18 4 0 100 8.918 25.781 
502 632 17 18 4 0 100 9.101 26.084 
632 795 17 18 4 0 100 9.559 26.560 
795 1000 17 18 4 0 100 10.247 26.157 
1000 3500 17 18 4 0 100 10.927 25.940 
20 26 18 19 4 0 100 9.792 13.287 
26 32 18 19 4 0 100 10.130 14.213 
32 40 18 19 4 0 100 10.366 15.248 
40 51 18 19 4 0 100 10.284 16.301 
51 64 18 19 4 0 100 10.360 17.699 
64 80 18 19 4 0 100 10.180 18.897 
80 101 18 19 4 0 100 10.272 20.020 
101 127 18 19 4 0 100 9.966 21.185 
127 159 18 19 4 0 100 9.431 22.185 
159 200 18 19 4 0 100 9.333 23.260 
200 252 18 19 4 0 100 9.077 24.114 
252 317 18 19 4 0 100 8.675 24.980 
317 399 18 19 4 0 100 9.129 25.646 
399 502 18 19 4 0 100 9.293 25.918 
502 632 18 19 4 0 100 9.536 26.631 
632 795 18 19 4 0 100 9.348 26.648 
795 1000 18 19 4 0 100 10.776 26.731 
1000 3500 18 19 4 0 100 11.030 26.726 
20 26 19 20 4 0 100 10.022 15.397 
26 32 19 20 4 0 100 10.199 16.354 
32 40 19 20 4 0 100 10.437 17.375 
40 51 19 20 4 0 100 10.517 18.545 
51 64 19 20 4 0 100 10.781 19.731 
64 80 19 20 4 0 100 10.738 20.914 
80 101 19 20 4 0 100 10.714 22.084 
101 127 19 20 4 0 100 10.447 23.232 
127 159 19 20 4 0 100 10.223 24.328 
159 200 19 20 4 0 100 10.040 25.306 
200 252 19 20 4 0 100 9.823 26.182 
252 317 19 20 4 0 100 9.688 26.931 
317 399 19 20 4 0 100 9.795 27.669 
399 502 19 20 4 0 100 9.941 28.205 
502 632 19 20 4 0 100 10.301 28.602 
632 795 19 20 4 0 100 10.608 28.624 
795 1000 19 20 4 0 100 11.130 28.751 
1000 3500 19 20 4 0 100 11.941 28.656 
