[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
51 64 2 3 4 0 100 3.641 9.877 
64 80 2 3 4 0 100 5.757 10.801 
80 101 2 3 4 0 100 5.020 11.111 
101 127 2 3 4 0 100 4.228 12.366 
127 159 2 3 4 0 100 3.662 14.219 
159 200 2 3 4 0 100 2.786 13.423 
200 252 2 3 4 0 100 4.795 14.266 
252 317 2 3 4 0 100 3.694 14.094 
317 399 2 3 4 0 100 3.879 16.485 
399 502 2 3 4 0 100 3.445 15.738 
502 632 2 3 4 0 100 3.318 18.119 
632 795 2 3 4 0 100 3.020 17.533 
795 1000 2 3 4 0 100 3.717 16.557 
1000 3500 2 3 4 0 100 3.655 18.940 
20 26 3 4 4 0 100 3.854 6.511 
26 32 3 4 4 0 100 5.932 7.441 
32 40 3 4 4 0 100 5.471 8.692 
40 51 3 4 4 0 100 4.565 9.481 
51 64 3 4 4 0 100 4.721 9.847 
64 80 3 4 4 0 100 4.318 10.960 
80 101 3 4 4 0 100 4.773 11.383 
101 127 3 4 4 0 100 4.551 12.064 
127 159 3 4 4 0 100 4.190 13.183 
159 200 3 4 4 0 100 3.979 14.079 
200 252 3 4 4 0 100 4.201 14.104 
252 317 3 4 4 0 100 4.257 15.626 
317 399 3 4 4 0 100 3.937 15.971 
399 502 3 4 4 0 100 4.455 16.414 
502 632 3 4 4 0 100 3.863 17.068 
632 795 3 4 4 0 100 4.384 16.724 
795 1000 3 4 4 0 100 4.551 19.505 
1000 3500 3 4 4 0 100 4.498 17.565 
20 26 4 5 4 0 100 4.481 7.163 
26 32 4 5 4 0 100 5.456 7.714 
32 40 4 5 4 0 100 5.503 9.002 
40 51 4 5 4 0 100 5.554 9.871 
51 64 4 5 4 0 100 5.332 10.963 
64 80 4 5 4 0 100 5.144 11.001 
80 101 4 5 4 0 100 5.062 12.412 
101 127 4 5 4 0 100 4.832 12.964 
127 159 4 5 4 0 100 4.880 12.958 
159 200 4 5 4 0 100 4.801 14.012 
200 252 4 5 4 0 100 4.196 14.804 
252 317 4 5 4 0 100 4.807 15.775 
317 399 4 5 4 0 100 4.635 16.258 
399 502 4 5 4 0 100 4.373 16.052 
502 632 4 5 4 0 100 4.936 17.632 
632 795 4 5 4 0 100 4.766 17.680 
795 1000 4 5 4 0 100 5.372 17.725 
1000 3500 4 5 4 0 100 4.874 17.392 
20 26 5 6 4 0 100 6.686 7.578 
26 32 5 6 4 0 100 5.398 8.046 
32 40 5 6 4 0 100 5.157 9.146 
40 51 5 6 4 0 100 5.358 9.638 
51 64 5 6 4 0 100 5.655 10.720 
64 80 5 6 4 0 100 4.961 11.708 
80 101 5 6 4 0 100 5.200 12.576 
101 127 5 6 4 0 100 5.020 12.941 
127 159 5 6 4 0 100 5.105 13.817 
159 200 5 6 4 0 100 4.474 14.759 
200 252 5 6 4 0 100 4.969 15.146 
252 317 5 6 4 0 100 4.646 16.094 
317 399 5 6 4 0 100 4.817 16.874 
399 502 5 6 4 0 100 4.644 17.240 
502 632 5 6 4 0 100 4.869 17.981 
632 795 5 6 4 0 100 5.171 18.202 
795 1000 5 6 4 0 100 5.313 18.335 
1000 3500 5 6 4 0 100 5.588 16.809 
20 26 6 7 4 0 100 4.998 7.751 
26 32 6 7 4 0 100 5.773 8.765 
32 40 6 7 4 0 100 5.950 9.300 
40 51 6 7 4 0 100 5.663 10.016 
51 64 6 7 4 0 100 5.822 11.220 
64 80 6 7 4 0 100 5.923 12.211 
80 101 6 7 4 0 100 5.341 12.594 
101 127 6 7 4 0 100 5.197 13.440 
127 159 6 7 4 0 100 4.758 14.391 
159 200 6 7 4 0 100 4.983 15.276 
200 252 6 7 4 0 100 4.975 15.771 
252 317 6 7 4 0 100 4.871 16.273 
317 399 6 7 4 0 100 4.970 17.016 
399 502 6 7 4 0 100 4.782 18.102 
502 632 6 7 4 0 100 4.785 17.972 
632 795 6 7 4 0 100 4.763 18.773 
795 1000 6 7 4 0 100 5.701 18.923 
1000 3500 6 7 4 0 100 5.560 17.699 
20 26 7 8 4 0 100 5.800 8.083 
26 32 7 8 4 0 100 5.855 8.886 
32 40 7 8 4 0 100 6.294 9.813 
40 51 7 8 4 0 100 6.531 10.707 
51 64 7 8 4 0 100 6.187 11.432 
64 80 7 8 4 0 100 5.828 12.288 
80 101 7 8 4 0 100 5.577 13.223 
101 127 7 8 4 0 100 5.491 13.867 
127 159 7 8 4 0 100 5.364 14.633 
159 200 7 8 4 0 100 5.133 15.185 
200 252 7 8 4 0 100 5.275 16.172 
252 317 7 8 4 0 100 5.156 16.587 
317 399 7 8 4 0 100 5.420 17.545 
399 502 7 8 4 0 100 5.228 18.334 
502 632 7 8 4 0 100 5.199 18.989 
