[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
20 26 12 13 4 0 100 16.242 16.041 
26 32 12 13 4 0 100 16.760 17.061 
32 40 12 13 4 0 100 17.163 18.136 
40 51 12 13 4 0 100 16.850 19.058 
51 64 12 13 4 0 100 16.834 20.333 
64 80 12 13 4 0 100 16.731 21.515 
80 101 12 13 4 0 100 16.767 23.024 
101 127 12 13 4 0 100 16.784 24.292 
127 159 12 13 4 0 100 16.085 25.969 
159 200 12 13 4 0 100 15.565 27.627 
200 252 12 13 4 0 100 15.164 29.466 
252 317 12 13 4 0 100 14.670 31.177 
317 399 12 13 4 0 100 14.196 33.332 
399 502 12 13 4 0 100 13.238 35.066 
502 632 12 13 4 0 100 12.904 37.069 
632 795 12 13 4 0 100 12.513 38.272 
795 1000 12 13 4 0 100 12.246 40.298 
1000 3500 12 13 4 0 100 12.677 43.107 
20 26 13 14 4 0 100 17.395 16.879 
26 32 13 14 4 0 100 17.026 17.834 
32 40 13 14 4 0 100 17.317 18.733 
40 51 13 14 4 0 100 18.132 19.892 
51 64 13 14 4 0 100 17.475 21.115 
64 80 13 14 4 0 100 17.376 22.305 
80 101 13 14 4 0 100 17.504 23.595 
101 127 13 14 4 0 100 17.209 25.165 
127 159 13 14 4 0 100 17.138 26.681 
159 200 13 14 4 0 100 15.756 28.322 
200 252 13 14 4 0 100 15.429 30.194 
252 317 13 14 4 0 100 15.003 32.178 
317 399 13 14 4 0 100 14.265 33.805 
399 502 13 14 4 0 100 13.943 35.715 
502 632 13 14 4 0 100 13.140 37.747 
632 795 13 14 4 0 100 14.874 40.033 
795 1000 13 14 4 0 100 12.168 41.507 
1000 3500 13 14 4 0 100 7.144 44.167 
20 26 14 15 4 0 100 18.659 17.372 
26 32 14 15 4 0 100 17.023 18.323 
32 40 14 15 4 0 100 18.933 19.524 
40 51 14 15 4 0 100 17.883 20.608 
51 64 14 15 4 0 100 18.160 21.789 
64 80 14 15 4 0 100 17.855 22.983 
80 101 14 15 4 0 100 17.771 24.352 
101 127 14 15 4 0 100 17.434 25.977 
127 159 14 15 4 0 100 17.443 27.300 
159 200 14 15 4 0 100 17.353 29.043 
200 252 14 15 4 0 100 16.508 30.863 
252 317 14 15 4 0 100 14.832 32.626 
317 399 14 15 4 0 100 14.263 34.458 
399 502 14 15 4 0 100 15.272 36.412 
502 632 14 15 4 0 100 14.032 38.654 
632 795 14 15 4 0 100 14.451 40.470 
795 1000 14 15 4 0 100 13.435 41.418 
1000 3500 14 15 4 0 100 7.962 45.390 
20 26 15 16 4 0 100 19.180 17.906 
26 32 15 16 4 0 100 18.215 19.093 
32 40 15 16 4 0 100 18.089 20.193 
40 51 15 16 4 0 100 19.823 21.118 
51 64 15 16 4 0 100 19.361 22.253 
64 80 15 16 4 0 100 19.094 23.566 
80 101 15 16 4 0 100 18.571 24.919 
101 127 15 16 4 0 100 18.156 26.519 
127 159 15 16 4 0 100 18.185 28.216 
159 200 15 16 4 0 100 16.684 29.673 
200 252 15 16 4 0 100 15.924 31.639 
252 317 15 16 4 0 100 16.152 33.409 
317 399 15 16 4 0 100 14.086 35.465 
399 502 15 16 4 0 100 16.717 36.951 
502 632 15 16 4 0 100 13.622 39.052 
632 795 15 16 4 0 100 15.469 40.160 
795 1000 15 16 4 0 100 7.293 44.579 
1000 3500 15 16 4 0 100 10.580 46.973 
20 26 16 17 4 0 100 19.514 18.985 
26 32 16 17 4 0 100 18.783 20.004 
32 40 16 17 4 0 100 20.000 20.554 
40 51 16 17 4 0 100 20.000 21.743 
51 64 16 17 4 0 100 20.000 23.001 
64 80 16 17 4 0 100 19.133 24.356 
80 101 16 17 4 0 100 18.284 25.693 
101 127 16 17 4 0 100 18.756 26.911 
127 159 16 17 4 0 100 17.966 28.712 
159 200 16 17 4 0 100 17.852 30.471 
200 252 16 17 4 0 100 18.285 32.341 
252 317 16 17 4 0 100 18.176 33.506 
317 399 16 17 4 0 100 15.927 35.439 
399 502 16 17 4 0 100 14.782 37.273 
502 632 16 17 4 0 100 15.894 39.255 
632 795 16 17 4 0 100 15.479 40.831 
795 1000 16 17 4 0 100 5.691 48.080 
1000 3500 16 17 4 0 100 8.000 44.645 
20 26 17 18 4 0 100 20.000 18.934 
26 32 17 18 4 0 100 20.000 19.996 
32 40 17 18 4 0 100 20.000 21.362 
40 51 17 18 4 0 100 19.662 22.345 
51 64 17 18 4 0 100 20.000 23.386 
64 80 17 18 4 0 100 20.000 25.009 
80 101 17 18 4 0 100 20.000 26.077 
101 127 17 18 4 0 100 19.702 27.439 
127 159 17 18 4 0 100 17.145 29.076 
159 200 17 18 4 0 100 18.283 30.760 
200 252 17 18 4 0 100 17.817 32.219 
252 317 17 18 4 0 100 16.756 34.877 
317 399 17 18 4 0 100 15.532 37.303 
399 502 17 18 4 0 100 16.062 38.786 
502 632 17 18 4 0 100 13.330 39.920 
632 795 17 18 4 0 100 11.444 40.682 
795 1000 17 18 4 0 100 9.298 43.960 
1000 3500 17 18 4 0 100 20.000 46.661 
20 26 18 19 4 0 100 20.000 19.307 
26 32 18 19 4 0 100 20.000 20.322 
32 40 18 19 4 0 100 19.749 22.092 
40 51 18 19 4 0 100 20.000 23.341 
51 64 18 19 4 0 100 20.000 23.976 
64 80 18 19 4 0 100 20.000 25.151 
80 101 18 19 4 0 100 19.384 26.873 
101 127 18 19 4 0 100 18.918 28.085 
127 159 18 19 4 0 100 18.149 29.725 
159 200 18 19 4 0 100 18.319 31.741 
200 252 18 19 4 0 100 16.589 32.885 
252 317 18 19 4 0 100 17.999 34.864 
317 399 18 19 4 0 100 16.941 36.700 
399 502 18 19 4 0 100 16.072 39.203 
502 632 18 19 4 0 100 8.652 41.103 
632 795 18 19 4 0 100 10.448 42.884 
795 1000 18 19 4 0 100 12.920 46.706 
1000 3500 18 19 4 0 100 20.000 37.985 
20 26 19 100 4 0 100 14.838 21.224 
26 32 19 100 4 0 100 19.675 22.496 
32 40 19 100 4 0 100 18.880 22.575 
40 51 19 100 4 0 100 20.000 24.203 
51 64 19 100 4 0 100 18.784 25.159 
64 80 19 100 4 0 100 18.074 26.189 
80 101 19 100 4 0 100 20.000 27.620 
101 127 19 100 4 0 100 18.270 29.199 
127 159 19 100 4 0 100 17.290 30.502 
159 200 19 100 4 0 100 19.185 32.528 
200 252 19 100 4 0 100 16.423 34.348 
252 317 19 100 4 0 100 17.672 35.686 
317 399 19 100 4 0 100 15.363 37.848 
399 502 19 100 4 0 100 13.329 39.351 
502 632 19 100 4 0 100 12.179 41.246 
632 795 19 100 4 0 100 7.939 45.005 
795 1000 19 100 4 0 100 9.761 44.148 
1000 3500 19 100 4 0 100 20.000 39.812 
