[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
101 127 7 8 4 0 100 9.420 16.265 
127 159 7 8 4 0 100 9.001 17.301 
159 200 7 8 4 0 100 8.636 18.386 
200 252 7 8 4 0 100 8.286 19.425 
252 317 7 8 4 0 100 7.852 20.519 
317 399 7 8 4 0 100 7.538 21.524 
399 502 7 8 4 0 100 7.202 22.392 
502 632 7 8 4 0 100 7.151 23.224 
632 795 7 8 4 0 100 7.075 23.859 
795 1000 7 8 4 0 100 7.130 24.392 
1000 3500 7 8 4 0 100 7.274 24.645 
20 26 8 9 4 0 100 11.108 11.481 
26 32 8 9 4 0 100 10.833 12.233 
32 40 8 9 4 0 100 11.144 12.883 
40 51 8 9 4 0 100 10.841 13.559 
51 64 8 9 4 0 100 10.566 14.443 
64 80 8 9 4 0 100 10.466 15.217 
80 101 8 9 4 0 100 10.260 16.100 
101 127 8 9 4 0 100 10.098 17.042 
127 159 8 9 4 0 100 9.379 18.138 
159 200 8 9 4 0 100 9.116 19.145 
200 252 8 9 4 0 100 8.826 20.240 
252 317 8 9 4 0 100 8.392 21.323 
317 399 8 9 4 0 100 7.941 22.416 
399 502 8 9 4 0 100 7.860 23.252 
502 632 8 9 4 0 100 7.602 24.021 
632 795 8 9 4 0 100 7.451 24.684 
795 1000 8 9 4 0 100 7.414 25.092 
1000 3500 8 9 4 0 100 7.030 25.538 
20 26 9 10 4 0 100 11.909 12.336 
26 32 9 10 4 0 100 12.095 12.909 
32 40 9 10 4 0 100 11.866 13.689 
40 51 9 10 4 0 100 11.595 14.364 
51 64 9 10 4 0 100 11.338 15.110 
64 80 9 10 4 0 100 11.242 15.946 
80 101 9 10 4 0 100 10.845 16.880 
101 127 9 10 4 0 100 10.785 17.874 
127 159 9 10 4 0 100 10.149 18.908 
159 200 9 10 4 0 100 9.554 19.936 
200 252 9 10 4 0 100 9.279 21.027 
252 317 9 10 4 0 100 8.752 22.182 
317 399 9 10 4 0 100 8.318 23.160 
399 502 9 10 4 0 100 8.065 24.079 
502 632 9 10 4 0 100 7.873 24.852 
632 795 9 10 4 0 100 7.996 25.449 
795 1000 9 10 4 0 100 7.914 25.702 
1000 3500 9 10 4 0 100 7.950 26.434 
20 26 10 11 4 0 100 12.169 13.012 
26 32 10 11 4 0 100 12.533 13.820 
32 40 10 11 4 0 100 12.140 14.443 
40 51 10 11 4 0 100 11.933 15.134 
51 64 10 11 4 0 100 12.004 15.955 
64 80 10 11 4 0 100 12.049 16.713 
80 101 10 11 4 0 100 11.471 17.634 
101 127 10 11 4 0 100 11.224 18.649 
127 159 10 11 4 0 100 10.729 19.696 
159 200 10 11 4 0 100 10.025 20.627 
200 252 10 11 4 0 100 9.841 21.824 
252 317 10 11 4 0 100 9.399 22.866 
317 399 10 11 4 0 100 9.095 23.820 
399 502 10 11 4 0 100 8.718 24.868 
502 632 10 11 4 0 100 8.262 25.683 
632 795 10 11 4 0 100 8.153 26.199 
795 1000 10 11 4 0 100 7.874 26.877 
1000 3500 10 11 4 0 100 7.809 27.078 
20 26 11 12 4 0 100 12.203 13.919 
26 32 11 12 4 0 100 12.776 14.378 
32 40 11 12 4 0 100 13.198 15.250 
40 51 11 12 4 0 100 13.105 15.766 
51 64 11 12 4 0 100 12.090 16.638 
64 80 11 12 4 0 100 12.276 17.616 
80 101 11 12 4 0 100 12.242 18.360 
101 127 11 12 4 0 100 11.715 19.272 
127 159 11 12 4 0 100 11.304 20.331 
159 200 11 12 4 0 100 10.616 21.442 
200 252 11 12 4 0 100 10.211 22.613 
252 317 11 12 4 0 100 9.672 23.495 
317 399 11 12 4 0 100 9.247 24.565 
399 502 11 12 4 0 100 9.106 25.626 
502 632 11 12 4 0 100 8.635 26.337 
632 795 11 12 4 0 100 8.711 26.864 
795 1000 11 12 4 0 100 8.636 27.005 
1000 3500 11 12 4 0 100 8.940 27.583 
20 26 12 13 4 0 100 12.814 14.515 
26 32 12 13 4 0 100 13.019 15.371 
32 40 12 13 4 0 100 13.275 15.841 
40 51 12 13 4 0 100 13.328 16.690 
51 64 12 13 4 0 100 13.301 17.319 
64 80 12 13 4 0 100 13.264 18.250 
80 101 12 13 4 0 100 12.620 19.229 
101 127 12 13 4 0 100 11.918 20.153 
127 159 12 13 4 0 100 11.546 21.042 
159 200 12 13 4 0 100 11.319 22.245 
200 252 12 13 4 0 100 10.710 23.276 
252 317 12 13 4 0 100 10.154 24.355 
317 399 12 13 4 0 100 9.658 25.394 
399 502 12 13 4 0 100 9.479 26.359 
502 632 12 13 4 0 100 9.361 27.039 
632 795 12 13 4 0 100 8.807 27.642 
795 1000 12 13 4 0 100 9.313 27.890 
1000 3500 12 13 4 0 100 9.055 28.202 
20 26 13 14 4 0 100 14.629 14.812 
26 32 13 14 4 0 100 14.823 15.866 
32 40 13 14 4 0 100 15.682 16.359 
40 51 13 14 4 0 100 14.096 17.584 
51 64 13 14 4 0 100 13.858 18.026 
64 80 13 14 4 0 100 13.689 18.924 
80 101 13 14 4 0 100 13.091 19.881 
101 127 13 14 4 0 100 12.888 20.950 
127 159 13 14 4 0 100 12.456 21.838 
159 200 13 14 4 0 100 11.569 23.058 
200 252 13 14 4 0 100 11.323 24.023 
252 317 13 14 4 0 100 10.820 25.084 
317 399 13 14 4 0 100 10.056 26.123 
399 502 13 14 4 0 100 9.440 26.852 
502 632 13 14 4 0 100 9.530 27.757 
632 795 13 14 4 0 100 9.724 28.136 
795 1000 13 14 4 0 100 9.342 28.938 
1000 3500 13 14 4 0 100 9.851 28.935 
20 26 14 15 4 0 100 14.526 16.240 
26 32 14 15 4 0 100 13.638 16.258 
32 40 14 15 4 0 100 15.957 17.218 
40 51 14 15 4 0 100 14.883 17.911 
51 64 14 15 4 0 100 13.464 18.828 
64 80 14 15 4 0 100 13.837 19.860 
80 101 14 15 4 0 100 13.270 20.376 
101 127 14 15 4 0 100 12.917 21.430 
127 159 14 15 4 0 100 12.227 22.496 
159 200 14 15 4 0 100 12.387 23.469 
200 252 14 15 4 0 100 11.857 24.763 
252 317 14 15 4 0 100 10.992 25.986 
317 399 14 15 4 0 100 10.380 26.751 
399 502 14 15 4 0 100 10.474 27.757 
502 632 14 15 4 0 100 9.632 28.472 
632 795 14 15 4 0 100 8.789 29.493 
795 1000 14 15 4 0 100 9.346 28.974 
1000 3500 14 15 4 0 100 9.589 30.547 
20 26 15 16 4 0 100 13.208 17.206 
26 32 15 16 4 0 100 15.973 17.354 
32 40 15 16 4 0 100 14.928 17.616 
40 51 15 16 4 0 100 14.987 18.723 
51 64 15 16 4 0 100 14.329 19.232 
64 80 15 16 4 0 100 14.998 20.432 
80 101 15 16 4 0 100 14.988 21.124 
101 127 15 16 4 0 100 13.906 22.357 
127 159 15 16 4 0 100 12.616 23.284 
159 200 15 16 4 0 100 12.678 24.474 
200 252 15 16 4 0 100 12.771 25.275 
252 317 15 16 4 0 100 11.508 26.570 
317 399 15 16 4 0 100 11.578 27.725 
399 502 15 16 4 0 100 10.162 27.940 
502 632 15 16 4 0 100 10.713 28.621 
632 795 15 16 4 0 100 11.232 29.377 
795 1000 15 16 4 0 100 8.894 29.809 
1000 3500 15 16 4 0 100 11.382 31.007 
20 26 16 17 4 0 100 11.649 16.463 
26 32 16 17 4 0 100 15.449 18.555 
32 40 16 17 4 0 100 16.465 18.315 
40 51 16 17 4 0 100 14.178 19.036 
51 64 16 17 4 0 100 14.793 20.371 
64 80 16 17 4 0 100 12.947 21.112 
80 101 16 17 4 0 100 13.548 21.723 
101 127 16 17 4 0 100 14.381 22.970 
127 159 16 17 4 0 100 14.265 23.820 
159 200 16 17 4 0 100 12.667 24.413 
200 252 16 17 4 0 100 12.024 26.079 
252 317 16 17 4 0 100 11.495 26.978 
317 399 16 17 4 0 100 10.714 27.867 
399 502 16 17 4 0 100 9.958 29.173 
502 632 16 17 4 0 100 10.015 29.530 
632 795 16 17 4 0 100 9.822 30.295 
795 1000 16 17 4 0 100 9.219 31.203 
1000 3500 16 17 4 0 100 5.462 34.089 
20 26 17 18 4 0 100 9.660 18.489 
26 32 17 18 4 0 100 19.443 18.715 
32 40 17 18 4 0 100 20.000 18.589 
40 51 17 18 4 0 100 17.752 19.895 
51 64 17 18 4 0 100 14.213 20.440 
64 80 17 18 4 0 100 16.780 21.320 
80 101 17 18 4 0 100 15.134 22.393 
101 127 17 18 4 0 100 15.835 23.468 
127 159 17 18 4 0 100 13.065 24.629 
159 200 17 18 4 0 100 14.378 25.719 
200 252 17 18 4 0 100 12.722 26.744 
252 317 17 18 4 0 100 12.266 27.277 
317 399 17 18 4 0 100 12.581 28.345 
399 502 17 18 4 0 100 10.573 29.231 
