[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
64 80 5 6 4 0 100 8.067 12.969 
80 101 5 6 4 0 100 9.036 13.981 
101 127 5 6 4 0 100 8.294 14.426 
127 159 5 6 4 0 100 7.969 15.641 
159 200 5 6 4 0 100 7.587 16.730 
200 252 5 6 4 0 100 7.622 18.435 
252 317 5 6 4 0 100 6.647 19.499 
317 399 5 6 4 0 100 6.366 20.852 
399 502 5 6 4 0 100 5.960 21.813 
502 632 5 6 4 0 100 6.312 22.287 
632 795 5 6 4 0 100 5.476 23.365 
795 1000 5 6 4 0 100 6.123 24.264 
1000 3500 5 6 4 0 100 5.581 25.084 
20 26 6 7 4 0 100 9.964 10.128 
26 32 6 7 4 0 100 9.720 10.790 
32 40 6 7 4 0 100 9.442 11.491 
40 51 6 7 4 0 100 9.676 11.963 
51 64 6 7 4 0 100 9.941 12.714 
64 80 6 7 4 0 100 9.444 13.542 
80 101 6 7 4 0 100 9.047 14.349 
101 127 6 7 4 0 100 8.233 15.643 
127 159 6 7 4 0 100 9.248 16.558 
159 200 6 7 4 0 100 8.518 17.875 
200 252 6 7 4 0 100 8.088 18.942 
252 317 6 7 4 0 100 7.308 20.165 
317 399 6 7 4 0 100 7.030 21.372 
399 502 6 7 4 0 100 6.663 22.841 
502 632 6 7 4 0 100 6.167 23.288 
632 795 6 7 4 0 100 6.247 24.478 
795 1000 6 7 4 0 100 5.922 24.574 
1000 3500 6 7 4 0 100 6.424 26.401 
20 26 7 8 4 0 100 10.449 10.707 
26 32 7 8 4 0 100 9.177 11.732 
32 40 7 8 4 0 100 10.106 12.222 
40 51 7 8 4 0 100 9.894 12.942 
51 64 7 8 4 0 100 9.806 13.849 
64 80 7 8 4 0 100 9.997 14.165 
80 101 7 8 4 0 100 9.617 15.374 
101 127 7 8 4 0 100 9.454 16.326 
127 159 7 8 4 0 100 9.177 17.372 
159 200 7 8 4 0 100 8.610 18.689 
200 252 7 8 4 0 100 8.297 19.772 
252 317 7 8 4 0 100 7.343 21.018 
317 399 7 8 4 0 100 7.353 22.454 
399 502 7 8 4 0 100 6.856 23.215 
502 632 7 8 4 0 100 6.868 24.343 
632 795 7 8 4 0 100 6.291 26.235 
795 1000 7 8 4 0 100 6.684 26.043 
1000 3500 7 8 4 0 100 6.458 26.415 
20 26 8 9 4 0 100 10.413 11.325 
26 32 8 9 4 0 100 10.944 12.452 
32 40 8 9 4 0 100 10.808 12.904 
40 51 8 9 4 0 100 11.199 13.611 
51 64 8 9 4 0 100 11.147 14.480 
64 80 8 9 4 0 100 10.424 15.175 
80 101 8 9 4 0 100 10.201 16.134 
101 127 8 9 4 0 100 9.947 17.035 
127 159 8 9 4 0 100 10.011 18.108 
159 200 8 9 4 0 100 8.845 19.403 
200 252 8 9 4 0 100 8.598 20.433 
252 317 8 9 4 0 100 8.351 21.876 
317 399 8 9 4 0 100 7.754 23.068 
399 502 8 9 4 0 100 7.456 24.622 
502 632 8 9 4 0 100 7.364 25.187 
632 795 8 9 4 0 100 6.927 25.961 
795 1000 8 9 4 0 100 6.894 26.576 
1000 3500 8 9 4 0 100 6.667 27.605 
20 26 9 10 4 0 100 12.150 12.160 
26 32 9 10 4 0 100 12.844 13.056 
32 40 9 10 4 0 100 11.747 13.783 
40 51 9 10 4 0 100 11.353 14.419 
51 64 9 10 4 0 100 11.188 15.144 
64 80 9 10 4 0 100 11.180 15.957 
80 101 9 10 4 0 100 10.805 16.824 
101 127 9 10 4 0 100 10.872 17.909 
127 159 9 10 4 0 100 10.013 18.937 
159 200 9 10 4 0 100 9.702 20.043 
200 252 9 10 4 0 100 9.378 21.294 
252 317 9 10 4 0 100 8.540 22.602 
317 399 9 10 4 0 100 8.135 23.872 
399 502 9 10 4 0 100 7.467 25.323 
502 632 9 10 4 0 100 7.324 26.256 
632 795 9 10 4 0 100 7.243 27.253 
795 1000 9 10 4 0 100 7.012 27.969 
1000 3500 9 10 4 0 100 7.012 28.116 
20 26 10 11 4 0 100 12.789 13.118 
26 32 10 11 4 0 100 11.756 13.832 
32 40 10 11 4 0 100 12.119 14.484 
40 51 10 11 4 0 100 12.937 15.256 
51 64 10 11 4 0 100 12.066 15.988 
64 80 10 11 4 0 100 12.156 16.818 
80 101 10 11 4 0 100 11.456 17.794 
101 127 10 11 4 0 100 10.695 18.735 
127 159 10 11 4 0 100 10.752 19.910 
159 200 10 11 4 0 100 9.967 20.859 
200 252 10 11 4 0 100 9.582 22.107 
252 317 10 11 4 0 100 8.451 23.525 
317 399 10 11 4 0 100 8.163 24.911 
399 502 10 11 4 0 100 8.114 26.035 
502 632 10 11 4 0 100 7.378 27.111 
632 795 10 11 4 0 100 7.388 27.756 
795 1000 10 11 4 0 100 7.723 28.442 
1000 3500 10 11 4 0 100 6.860 29.896 
20 26 11 12 4 0 100 13.092 13.876 
26 32 11 12 4 0 100 12.304 14.734 
32 40 11 12 4 0 100 12.914 15.228 
40 51 11 12 4 0 100 12.574 15.941 
51 64 11 12 4 0 100 13.153 16.832 
64 80 11 12 4 0 100 12.693 17.606 
80 101 11 12 4 0 100 11.916 18.480 
101 127 11 12 4 0 100 11.349 19.481 
127 159 11 12 4 0 100 11.560 20.508 
159 200 11 12 4 0 100 10.463 21.599 
200 252 11 12 4 0 100 10.034 23.105 
252 317 11 12 4 0 100 9.303 24.351 
317 399 11 12 4 0 100 8.642 25.510 
399 502 11 12 4 0 100 8.047 26.825 
502 632 11 12 4 0 100 8.095 27.880 
632 795 11 12 4 0 100 7.360 28.806 
795 1000 11 12 4 0 100 7.934 28.990 
1000 3500 11 12 4 0 100 7.707 30.025 
20 26 12 13 4 0 100 13.318 14.587 
26 32 12 13 4 0 100 13.097 15.323 
32 40 12 13 4 0 100 13.736 16.029 
40 51 12 13 4 0 100 13.764 16.671 
51 64 12 13 4 0 100 13.522 17.495 
64 80 12 13 4 0 100 13.140 18.264 
80 101 12 13 4 0 100 12.926 19.245 
101 127 12 13 4 0 100 11.923 20.330 
127 159 12 13 4 0 100 11.538 21.257 
159 200 12 13 4 0 100 11.030 22.461 
200 252 12 13 4 0 100 9.997 23.843 
252 317 12 13 4 0 100 9.681 25.129 
317 399 12 13 4 0 100 9.197 26.504 
399 502 12 13 4 0 100 8.619 27.730 
502 632 12 13 4 0 100 8.247 28.566 
632 795 12 13 4 0 100 8.528 29.198 
795 1000 12 13 4 0 100 7.715 30.251 
1000 3500 12 13 4 0 100 7.940 31.216 
20 26 13 14 4 0 100 14.519 15.384 
26 32 13 14 4 0 100 13.731 16.071 
32 40 13 14 4 0 100 14.452 16.889 
40 51 13 14 4 0 100 13.845 17.445 
51 64 13 14 4 0 100 14.243 18.267 
64 80 13 14 4 0 100 14.126 19.061 
80 101 13 14 4 0 100 12.943 20.100 
101 127 13 14 4 0 100 12.662 21.010 
127 159 13 14 4 0 100 12.694 22.027 
159 200 13 14 4 0 100 11.647 23.180 
200 252 13 14 4 0 100 10.913 24.457 
252 317 13 14 4 0 100 10.054 25.796 
317 399 13 14 4 0 100 9.621 27.194 
399 502 13 14 4 0 100 8.841 28.426 
502 632 13 14 4 0 100 8.518 29.739 
632 795 13 14 4 0 100 8.178 30.488 
795 1000 13 14 4 0 100 8.481 31.037 
1000 3500 13 14 4 0 100 8.277 31.304 
20 26 14 15 4 0 100 14.693 16.201 
26 32 14 15 4 0 100 14.334 16.820 
32 40 14 15 4 0 100 15.095 17.594 
40 51 14 15 4 0 100 15.073 18.209 
51 64 14 15 4 0 100 14.412 19.006 
64 80 14 15 4 0 100 14.158 19.924 
80 101 14 15 4 0 100 13.759 20.758 
101 127 14 15 4 0 100 13.272 21.876 
127 159 14 15 4 0 100 12.726 22.758 
159 200 14 15 4 0 100 12.026 24.073 
200 252 14 15 4 0 100 11.161 25.408 
252 317 14 15 4 0 100 10.534 26.611 
317 399 14 15 4 0 100 9.731 27.975 
399 502 14 15 4 0 100 9.199 29.191 
502 632 14 15 4 0 100 9.005 30.382 
632 795 14 15 4 0 100 9.021 31.132 
795 1000 14 15 4 0 100 9.209 31.757 
1000 3500 14 15 4 0 100 8.785 32.629 
20 26 15 16 4 0 100 17.250 16.885 
26 32 15 16 4 0 100 16.049 17.632 
32 40 15 16 4 0 100 15.187 18.353 
40 51 15 16 4 0 100 15.528 19.003 
51 64 15 16 4 0 100 15.666 19.851 
64 80 15 16 4 0 100 14.704 20.610 
80 101 15 16 4 0 100 14.216 21.623 
101 127 15 16 4 0 100 13.874 22.473 
127 159 15 16 4 0 100 13.310 23.631 
159 200 15 16 4 0 100 12.389 24.934 
200 252 15 16 4 0 100 11.804 26.189 
252 317 15 16 4 0 100 11.009 27.508 
317 399 15 16 4 0 100 10.392 28.865 
399 502 15 16 4 0 100 9.884 29.988 
502 632 15 16 4 0 100 8.948 31.264 
632 795 15 16 4 0 100 8.884 32.165 
795 1000 15 16 4 0 100 8.795 32.798 
1000 3500 15 16 4 0 100 9.107 33.015 
20 26 16 17 4 0 100 17.150 17.747 
26 32 16 17 4 0 100 16.960 18.380 
32 40 16 17 4 0 100 16.537 19.053 
40 51 16 17 4 0 100 15.461 19.675 
51 64 16 17 4 0 100 15.494 20.514 
64 80 16 17 4 0 100 15.406 21.229 
80 101 16 17 4 0 100 15.085 22.250 
101 127 16 17 4 0 100 14.777 23.297 
127 159 16 17 4 0 100 14.058 24.367 
159 200 16 17 4 0 100 12.660 25.654 
200 252 16 17 4 0 100 12.133 26.917 
252 317 16 17 4 0 100 11.284 28.301 
317 399 16 17 4 0 100 10.337 29.549 
399 502 16 17 4 0 100 10.331 30.841 
502 632 16 17 4 0 100 9.301 31.977 
632 795 16 17 4 0 100 9.440 32.675 
795 1000 16 17 4 0 100 9.105 33.829 
1000 3500 16 17 4 0 100 8.892 34.517 
20 26 17 18 4 0 100 15.808 18.539 
26 32 17 18 4 0 100 16.859 19.186 
32 40 17 18 4 0 100 16.473 19.870 
40 51 17 18 4 0 100 16.436 20.600 
51 64 17 18 4 0 100 16.400 21.383 
64 80 17 18 4 0 100 15.950 22.050 
80 101 17 18 4 0 100 15.954 22.953 
101 127 17 18 4 0 100 14.539 24.040 
127 159 17 18 4 0 100 14.060 25.282 
159 200 17 18 4 0 100 13.840 26.394 
200 252 17 18 4 0 100 12.414 27.609 
252 317 17 18 4 0 100 11.736 28.945 
317 399 17 18 4 0 100 11.073 30.398 
399 502 17 18 4 0 100 10.212 31.754 
502 632 17 18 4 0 100 9.696 32.703 
632 795 17 18 4 0 100 9.574 33.593 
795 1000 17 18 4 0 100 9.412 34.327 
1000 3500 17 18 4 0 100 9.666 35.001 
20 26 18 19 4 0 100 17.728 19.371 
26 32 18 19 4 0 100 18.285 19.960 
32 40 18 19 4 0 100 17.008 20.528 
40 51 18 19 4 0 100 16.411 21.412 
51 64 18 19 4 0 100 16.410 22.022 
64 80 18 19 4 0 100 16.504 22.923 
80 101 18 19 4 0 100 16.644 23.860 
101 127 18 19 4 0 100 15.334 24.867 
127 159 18 19 4 0 100 14.961 25.860 
159 200 18 19 4 0 100 13.626 27.087 
200 252 18 19 4 0 100 12.774 28.462 
252 317 18 19 4 0 100 12.260 29.784 
317 399 18 19 4 0 100 11.030 31.273 
399 502 18 19 4 0 100 10.428 32.614 
502 632 18 19 4 0 100 10.217 33.429 
632 795 18 19 4 0 100 9.631 34.419 
795 1000 18 19 4 0 100 9.705 35.128 
1000 3500 18 19 4 0 100 9.949 35.631 
20 26 19 20 4 0 100 14.940 23.782 
26 32 19 20 4 0 100 14.546 24.638 
32 40 19 20 4 0 100 14.235 25.564 
40 51 19 20 4 0 100 14.494 26.341 
51 64 19 20 4 0 100 14.505 27.136 
64 80 19 20 4 0 100 14.427 27.976 
80 101 19 20 4 0 100 14.310 28.963 
101 127 19 20 4 0 100 14.186 30.103 
127 159 19 20 4 0 100 13.791 31.231 
159 200 19 20 4 0 100 13.326 32.493 
200 252 19 20 4 0 100 12.680 33.916 
252 317 19 20 4 0 100 12.110 35.392 
317 399 19 20 4 0 100 11.356 36.851 
399 502 19 20 4 0 100 10.809 38.272 
502 632 19 20 4 0 100 10.375 39.515 
632 795 19 20 4 0 100 10.107 40.450 
795 1000 19 20 4 0 100 9.905 40.925 
1000 3500 19 20 4 0 100 10.189 41.453 
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_gluon}
20 26 0 1 4 0 100 3.414 8.742 
26 32 0 1 4 0 100 5.214 9.052 
32 40 0 1 4 0 100 18.259 9.257 
40 51 0 1 4 0 100 4.031 11.027 
51 64 0 1 4 0 100 5.706 12.849 
64 80 0 1 4 0 100 8.028 11.123 
80 101 0 1 4 0 100 19.358 15.303 
101 127 0 1 4 0 100 8.602 18.330 
127 159 0 1 4 0 100 8.956 18.263 
159 200 0 1 4 0 100 12.874 16.645 
200 252 0 1 4 0 100 9.147 19.601 
252 317 0 1 4 0 100 14.191 22.128 
317 399 0 1 4 0 100 20.000 23.433 
399 502 0 1 4 0 100 20.000 26.606 
502 632 0 1 4 0 100 20.000 15.000 
632 795 0 1 4 0 100 20.000 22.984 
795 1000 0 1 4 0 100 20.000 23.608 
1000 3500 0 1 4 0 100 19.979 50.000 
20 26 1 2 4 0 100 11.126 7.735 
26 32 1 2 4 0 100 12.147 8.612 
32 40 1 2 4 0 100 6.837 10.051 
40 51 1 2 4 0 100 7.020 11.218 
51 64 1 2 4 0 100 13.042 12.034 
64 80 1 2 4 0 100 6.033 14.726 
80 101 1 2 4 0 100 9.291 14.315 
101 127 1 2 4 0 100 8.548 15.613 
127 159 1 2 4 0 100 8.253 18.068 
159 200 1 2 4 0 100 5.762 20.088 
200 252 1 2 4 0 100 7.334 23.799 
252 317 1 2 4 0 100 3.913 27.542 
