[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
64 80 12 13 4 0 100 17.150 21.857 
80 101 12 13 4 0 100 17.079 23.320 
101 127 12 13 4 0 100 16.592 24.708 
127 159 12 13 4 0 100 16.633 26.501 
159 200 12 13 4 0 100 15.776 28.118 
200 252 12 13 4 0 100 15.054 30.154 
252 317 12 13 4 0 100 14.015 32.281 
317 399 12 13 4 0 100 13.373 34.394 
399 502 12 13 4 0 100 12.347 37.058 
502 632 12 13 4 0 100 12.128 39.004 
632 795 12 13 4 0 100 11.903 41.056 
795 1000 12 13 4 0 100 10.493 42.796 
1000 3500 12 13 4 0 100 10.816 45.598 
20 26 13 14 4 0 100 17.909 17.173 
26 32 13 14 4 0 100 17.651 18.138 
32 40 13 14 4 0 100 17.534 19.145 
40 51 13 14 4 0 100 18.092 20.258 
51 64 13 14 4 0 100 18.278 21.362 
64 80 13 14 4 0 100 18.113 22.636 
80 101 13 14 4 0 100 18.262 24.008 
101 127 13 14 4 0 100 17.603 25.581 
127 159 13 14 4 0 100 16.981 27.237 
159 200 13 14 4 0 100 16.384 29.027 
200 252 13 14 4 0 100 15.425 31.037 
252 317 13 14 4 0 100 14.313 33.010 
317 399 13 14 4 0 100 13.247 35.449 
399 502 13 14 4 0 100 12.666 37.506 
502 632 13 14 4 0 100 12.207 39.743 
632 795 13 14 4 0 100 11.712 41.988 
795 1000 13 14 4 0 100 11.898 44.096 
1000 3500 13 14 4 0 100 10.710 46.117 
20 26 14 15 4 0 100 19.023 18.023 
26 32 14 15 4 0 100 18.151 18.967 
32 40 14 15 4 0 100 18.073 19.954 
40 51 14 15 4 0 100 18.550 21.041 
51 64 14 15 4 0 100 18.287 22.204 
64 80 14 15 4 0 100 18.551 23.399 
80 101 14 15 4 0 100 18.592 24.773 
101 127 14 15 4 0 100 17.634 26.296 
127 159 14 15 4 0 100 17.568 27.957 
159 200 14 15 4 0 100 16.669 29.672 
200 252 14 15 4 0 100 15.858 31.714 
252 317 14 15 4 0 100 14.750 33.846 
317 399 14 15 4 0 100 13.692 36.063 
399 502 14 15 4 0 100 13.453 38.249 
502 632 14 15 4 0 100 12.282 40.771 
632 795 14 15 4 0 100 12.379 42.976 
795 1000 14 15 4 0 100 12.481 44.562 
1000 3500 14 15 4 0 100 12.539 46.624 
20 26 15 16 4 0 100 19.607 18.818 
26 32 15 16 4 0 100 19.430 19.776 
32 40 15 16 4 0 100 19.311 20.681 
40 51 15 16 4 0 100 19.324 21.733 
51 64 15 16 4 0 100 19.033 22.910 
64 80 15 16 4 0 100 19.433 24.177 
80 101 15 16 4 0 100 18.625 25.545 
101 127 15 16 4 0 100 18.510 27.070 
127 159 15 16 4 0 100 18.044 28.738 
159 200 15 16 4 0 100 17.403 30.427 
200 252 15 16 4 0 100 16.020 32.561 
252 317 15 16 4 0 100 15.088 34.675 
317 399 15 16 4 0 100 14.509 36.903 
399 502 15 16 4 0 100 13.832 39.131 
502 632 15 16 4 0 100 12.748 41.621 
632 795 15 16 4 0 100 12.227 43.515 
795 1000 15 16 4 0 100 11.823 45.883 
1000 3500 15 16 4 0 100 13.253 47.745 
20 26 16 17 4 0 100 19.943 19.533 
26 32 16 17 4 0 100 19.637 20.532 
32 40 16 17 4 0 100 19.061 21.457 
40 51 16 17 4 0 100 19.897 22.584 
51 64 16 17 4 0 100 19.684 23.685 
64 80 16 17 4 0 100 19.898 24.974 
80 101 16 17 4 0 100 19.041 26.320 
101 127 16 17 4 0 100 19.204 27.872 
127 159 16 17 4 0 100 18.386 29.520 
159 200 16 17 4 0 100 17.724 31.318 
200 252 16 17 4 0 100 17.055 33.219 
252 317 16 17 4 0 100 15.779 35.412 
317 399 16 17 4 0 100 14.298 37.590 
399 502 16 17 4 0 100 13.908 39.940 
502 632 16 17 4 0 100 13.337 41.952 
632 795 16 17 4 0 100 12.791 44.692 
795 1000 16 17 4 0 100 11.533 47.246 
1000 3500 16 17 4 0 100 11.960 49.483 
20 26 17 18 4 0 100 20.000 20.353 
26 32 17 18 4 0 100 20.000 21.349 
32 40 17 18 4 0 100 20.000 22.191 
40 51 17 18 4 0 100 20.000 23.298 
51 64 17 18 4 0 100 20.000 24.420 
64 80 17 18 4 0 100 20.000 25.744 
80 101 17 18 4 0 100 20.000 27.095 
101 127 17 18 4 0 100 19.791 28.591 
127 159 17 18 4 0 100 19.006 30.262 
159 200 17 18 4 0 100 17.972 32.062 
200 252 17 18 4 0 100 17.193 34.097 
252 317 17 18 4 0 100 16.086 36.159 
317 399 17 18 4 0 100 15.103 38.366 
399 502 17 18 4 0 100 13.877 40.860 
502 632 17 18 4 0 100 13.842 43.027 
632 795 17 18 4 0 100 13.345 45.236 
795 1000 17 18 4 0 100 12.469 47.233 
1000 3500 17 18 4 0 100 1.000 50.000 
20 26 18 19 4 0 100 20.000 21.077 
26 32 18 19 4 0 100 20.000 22.024 
32 40 18 19 4 0 100 20.000 22.958 
40 51 18 19 4 0 100 20.000 24.013 
51 64 18 19 4 0 100 20.000 25.255 
64 80 18 19 4 0 100 20.000 26.364 
80 101 18 19 4 0 100 20.000 27.707 
101 127 18 19 4 0 100 20.000 29.415 
127 159 18 19 4 0 100 19.545 31.103 
159 200 18 19 4 0 100 18.551 32.826 
200 252 18 19 4 0 100 17.787 34.886 
252 317 18 19 4 0 100 16.512 36.980 
317 399 18 19 4 0 100 15.443 39.369 
399 502 18 19 4 0 100 14.416 41.532 
502 632 18 19 4 0 100 14.666 44.234 
632 795 18 19 4 0 100 14.215 46.191 
795 1000 18 19 4 0 100 13.964 48.560 
1000 3500 18 19 4 0 100 13.173 50.000 
20 26 19 20 4 0 100 16.871 25.803 
26 32 19 20 4 0 100 16.800 27.015 
32 40 19 20 4 0 100 16.777 28.123 
40 51 19 20 4 0 100 17.029 29.236 
51 64 19 20 4 0 100 17.141 30.443 
64 80 19 20 4 0 100 17.435 31.694 
80 101 19 20 4 0 100 17.637 33.160 
101 127 19 20 4 0 100 17.772 34.724 
127 159 19 20 4 0 100 17.573 36.465 
159 200 19 20 4 0 100 17.198 38.338 
200 252 19 20 4 0 100 16.591 40.423 
252 317 19 20 4 0 100 15.825 42.636 
317 399 19 20 4 0 100 15.198 44.989 
399 502 19 20 4 0 100 14.447 47.476 
502 632 19 20 4 0 100 13.993 49.750 
632 795 19 20 4 0 100 14.375 50.000 
795 1000 19 20 4 0 100 14.901 50.000 
1000 3500 19 20 4 0 100 16.125 50.000 
